"id","name","entity_type","noraf_id"
741,"Helstad, Kristin","person",
742,"Gaare, Odd","person",
743,"Nome, Sture","person",
744,"Eikemo, Marit","person",
745,"Bentsen, Marianne","person",
746,"Russdal-Hamre, Briten","person",
747,"Botten, Geir","person",
748,"Eriksen, Evy-Ann","person",
749,"Svidal, Kristi","person",
750,"Hassel, Marit","person",
751,"Roddvik, Viktor","person",
752,"Rognlien, Jon","person",
753,"Haugen, Trond","person",
754,"Rossavik, Frank","person",
755,"Hovdenakk, Sindre","person",
756,"Furu, Iris Alice Vigerust","person",
757,"Fehr, Drude von der","person",
758,"Vaglum, Per","person",
759,"Skuggevik, Erik","person",
760,"Grue, Jan","person",
761,"Steineger, Erik","person",
762,"Holen, Oyvind","person",
763,"Linderborg, Asa","person",
764,"Lindstad, Siri","person",
765,"Eggen, Jo","person",
766,"Hamnes, Lena Amalie","person",
767,"Torp-Holte, Torill","person",
768,"Bjerke, Paul","person",
769,"Refseth, Nina","person",
770,"Vaa, Aaslaug","person",
771,"Kamps, Harald","person",
772,"Bjerva, Trine","person",
773,"Graesli, Jon Anders","person",
774,"Sigurjonsson, Thorsteinn","person",
775,"Orevik, Sigrid","person",
778,"Fossanger, Hilde","person",
777,"Nord, Andreas","person",
779,"Tvedten, Hilde Marie","person",
780,"Smidt, Jofrid Karner","person",
781,"Fyhn, Hakon","person",
782,"Kjaergaard, Anne","person",
783,"Saeter, Gjertrud","person",
784,"Moller, Peter","person",
785,"Jorgensen, Charlotte","person",
786,"Wold, Pia Martine","person",
787,"Alnaes, Jorgen","person",
788,"Nordstoga, Sveinung","person",
789,"Bjerke, Ragnhild","person",
790,"Ulriksen, Kjersti","person",
791,"Amundsen, Guri","person",
792,"Kveldsvik, Anne Lise","person",
793,"Warhuus, Rita Irene","person",
794,"Johansen, Sunniva Petersen","person",
795,"Haugsvaer, Karoline","person",
796,"Johansen, Ronny","person",
797,"Eilertsen, Anne Marie Waller","person",
798,"Flathagen, Daniel Milford","person",
799,"Granly, Astrid","person",
800,"Holberg, Katrine Johnsen","person",
801,"Svenningsen, Monica Jonsrud","person",
802,"Stifoss-Hanssen, Astrid","person",
803,"Barstad, Ingunn Wikheim","person",
805,"Enge, Turi","person",
806,"Djordjilovic, Olga","person",
807,"Oygreid, Anne Kristine","person",
808,"Lemjan, Maja Lisa","person",
809,"Eriksen, Anna","person",
810,"Saelid, Hege","person",
811,"Hansen, Vibeke","person",
812,"Aasbo, Siv","person",
813,"Jacobsen, Egil","person",
